rank;uri;artist_names;track_name;source;peak_rank;previous_rank;weeks_on_chart;streams
21;spotify:track:3h2IRgTZrU4hSNCePszT23;UNDERGRUNN;Italia;UG Records;3;22;31;278036
22;spotify:track:34r5BGAd9Fc297M3MoIhmX;Broiler, Papito MIERDA;åtte shots;Universal Music AB (Sky Agency AS);2;21;11;270880
23;spotify:track:2coLAzVouJE4BC8lrKbDLk;Karpe, Omar Sheriff;PAF.no;A & K;1;23;40;266062
24;spotify:track:2kPukYbkTVuvaNn4HhIPBW;Ballinciaga, Kris Winther;Beklager (Guttaklubben);Virgin Music Label And Artist Services;2;24;31;262363
25;spotify:track:0lJCvh6IJQ7vedN2zgW9ws;Ballinciaga, Kamelen;Fakk Min X;Virgin Music Label And Artist Services;1;25;11;261814
26;spotify:track:5PTYydUwfxM8Q7KuqjmPxu;Selma Ibrahim;BlimE! - Den Ene;Triplet Studios AS;17;28;22;258085
27;spotify:track:4Dvkj6JhhA12EX05fT7y2e;Harry Styles;As It Was;Columbia;2;32;31;253213
28;spotify:track:4olmG0sFJ6L0LVI8ssiZFz;vinni;glorie;MER Recordings AS;4;27;47;250308
29;spotify:track:6UzKSYzM7VMDIky6JQj8cd;Broiler, Caden;oh no;Universal Music AB (Sky Agency AS);10;10;2;249302
30;spotify:track:5jQI2r1RdgtuT8S3iG8zFC;Taylor Swift;Lavender Haze;Taylor Swift;12;12;2;248422
31;spotify:track:6G1Mz5yMgn0ydOlIvTrZ65;TALK;Run Away to Mars;Range Music/Capitol Records;4;30;12;243747
32;spotify:track:4zZ6iOKjGIi2vaEw7lmUAV;Jonas Benyoub;Spor i snøen;WM Norway;16;17;3;238458
33;spotify:track:1ei3hzQmrgealgRKFxIcWn;Benson Boone;In The Stars;Warner Records;4;31;27;236458
34;spotify:track:60deDJnxH7G68DwxfbN9aQ;Rike Venner;Tenerife Tapes;Virgin Music Label And Artist Services;26;26;9;233152
35;spotify:track:0SxQZ81RX3icOvVCrLDszO;Broiler, Kamelen, Emma Steinbakken;BAP;KingPin Records;5;33;14;226632
36;spotify:track:34ZAzO78a5DAVNrYIGWcPm;SZA;Shirt;Top Dawg Entertainment/RCA Records;36;-1;1;223801
37;spotify:track:1RwQZNgaXl01krZHuSUlE8;Elov & Beny, Sofie Svensson & Dom Där;BUBBEL PÅ BALKONGEN;REP9;3;37;19;221826
38;spotify:track:2Ah0Z0ZFAhmfyJAakATMCR;Roc Boyz;Creem;Kiil Records;2;40;35;221002
39;spotify:track:274WIr2qJ3PibID1Tbv5VZ;Isah, Stig Brenner;Øyne i nakken;SDKT Entertainment AS;39;-1;1;205700
40;spotify:track:1bgKMxPQU7JIZEhNsM1vFs;Alesso, Zara Larsson;Words (feat. Zara Larsson);10:22PM;15;44;28;204414
41;spotify:track:5IgjP7X4th6nMNDh4akUHb;Chris Brown;Under The Influence;Chris Brown Entertainment/RCA Records;29;42;15;201958
42;spotify:track:1leQBt3X85aFCucHi4CEYt;Broiler, Sofiloud;OMG;Universal Music AB (Sky Agency AS);5;41;21;200629
43;spotify:track:1wtOxkiel43cVs0Yux5Q4h;Taylor Swift, Lana Del Rey;Snow On The Beach (feat. Lana Del Rey);Taylor Swift;16;16;2;197059
44;spotify:track:77F3wu9VD3TgxXjHCq8A7W;Kaizers Orchestra;Hjerteknuser;Kaizerecords;2;45;13;195869
45;spotify:track:70KdADbxWK0MAVXj0YvWDi;Roc Boyz, Greekazo;Bonanza (feat. Greekazo);Virgin Music Label And Artist Services;2;46;32;193507
46;spotify:track:6TEXcXRf5Fq9FBJPAGHilB;Chris Holsten;For evig;WM Norway;29;29;2;191557
47;spotify:track:7aRCAByC8ktZVKhVhDS4la;Alawee;Aktiverad (Klick Klack);WM Sweden;47;50;8;190076
48;spotify:track:6XIOwPaFCpwBApJmQqt7t0;Jon Ranes;Blod;Def Jam Recordings Norway;12;48;6;174750
49;spotify:track:6iAzs8DCRsCDkr3UCyptXO;Hkeem, Makosir;Danser videre i livet;RCA Records Label;49;-1;1;158273
50;spotify:track:1beuDJXaekLPtvX1jQe0yx;Kamelen;Creme De La Creme;KingPin Records;23;53;80;155641
;regional-no-weekly-2022-11-03;;(Spotify Charts - Spotify Charts Are Made by Fans, 2022c);;Spotify Charts - Spotify Charts are made by fans. (2022c, November 3). https://charts.spotify.com/charts/view/regional-no-weekly/2022-11-03;;;
